                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     44,                0.24324,                0.18558,                0.22233,                 0.8508,                0.99974,                      1,                  0.995,                 0.9949,                0.99974,                      1,                  0.995,                  0.995,                0.16772,                0.14373,                0.14707,                 0.7692,              0.0011684,              0.0011684,              0.0011684
                     45,                0.24738,                0.18607,                0.21726,                0.85879,                0.99975,                      1,                  0.995,                0.99372,                0.99975,                      1,                  0.995,                  0.995,                0.17509,                 0.1525,                0.15866,                0.77526,              0.0011486,              0.0011486,              0.0011486
                     46,                0.24969,                 0.1994,                0.21711,                0.85742,                0.99974,                      1,                  0.995,                0.99308,                0.99974,                      1,                  0.995,                  0.995,                0.17115,                  0.149,                0.15154,                0.76858,              0.0011288,              0.0011288,              0.0011288
                     47,                0.24306,                 0.1881,                0.21326,                0.84917,                0.99971,                      1,                  0.995,                0.99434,                0.99971,                      1,                  0.995,                0.99353,                0.17634,                0.19481,                0.14507,                0.77077,               0.001109,               0.001109,               0.001109
                     48,                0.23885,                0.19009,                0.21256,                0.85411,                0.99975,                      1,                  0.995,                0.99428,                0.99975,                      1,                  0.995,                0.99496,                0.16195,                0.15629,                 0.1417,                 0.7671,              0.0010892,              0.0010892,              0.0010892
                     49,                0.24358,                0.20388,                0.20881,                0.85659,                0.99974,                      1,                  0.995,                 0.9946,                0.99974,                      1,                  0.995,                  0.995,                0.17516,                 0.1514,                0.14232,                0.76946,              0.0010694,              0.0010694,              0.0010694
                     50,                0.23664,                0.18329,                0.20256,                0.85603,                0.99973,                0.99531,                  0.995,                0.99487,                0.99973,                0.99531,                  0.995,                  0.995,                0.15511,                0.15184,                0.13678,                0.76527,              0.0010496,              0.0010496,              0.0010496
                     51,                0.21912,                  0.172,                0.19607,                0.85129,                 0.9998,                      1,                  0.995,                0.99345,                 0.9998,                      1,                  0.995,                  0.995,                0.18158,                 0.1429,                0.14557,                0.76948,              0.0010298,              0.0010298,              0.0010298
                     52,                0.22446,                0.18967,                0.20238,                0.85467,                0.99975,                      1,                  0.995,                0.99437,                0.99975,                      1,                  0.995,                  0.995,                0.15085,                0.14222,                0.13322,                0.76477,                0.00101,                0.00101,                0.00101
                     53,                0.22415,                0.18068,                0.19643,                 0.8556,                0.99965,                      1,                  0.995,                0.99387,                0.99965,                      1,                  0.995,                  0.995,                0.15069,                 0.1467,                0.13183,                0.76334,              0.0009902,              0.0009902,              0.0009902
                     54,                0.20707,                0.17502,                0.17986,                0.83872,                0.96973,                      1,                0.97657,                0.97522,                0.96973,                      1,                0.97657,                0.97657,                0.15305,                0.14789,                 0.1543,                0.76416,              0.0009704,              0.0009704,              0.0009704
                     55,                0.22141,                 0.1799,                0.19787,                0.85731,                0.99971,                      1,                  0.995,                  0.995,                0.99971,                      1,                  0.995,                  0.995,                0.15086,                0.14524,                0.12998,                 0.7621,              0.0009506,              0.0009506,              0.0009506
                     56,                0.21979,                0.16985,                0.20005,                0.85101,                0.99974,                      1,                  0.995,                0.99491,                0.99974,                      1,                  0.995,                  0.995,                0.15205,                0.14138,                0.13533,                0.76402,              0.0009308,              0.0009308,              0.0009308
                     57,                0.22701,                0.18864,                 0.2004,                0.84797,                0.99974,                      1,                  0.995,                0.99477,                0.99974,                      1,                  0.995,                  0.995,                0.15607,                0.14941,                0.13281,                0.76499,               0.000911,               0.000911,               0.000911
                     58,                 0.2207,                0.18783,                0.19999,                0.84757,                0.99974,                      1,                  0.995,                0.99499,                0.99974,                      1,                  0.995,                  0.995,                 0.1445,                0.14942,                0.12598,                0.76219,              0.0008912,              0.0008912,              0.0008912
                     59,                0.20523,                 0.1779,                0.18564,                0.84278,                0.99974,                      1,                  0.995,                0.99412,                0.99974,                      1,                  0.995,                  0.995,                0.14693,                 0.1543,                0.12738,                0.76207,              0.0008714,              0.0008714,              0.0008714
                     60,                0.21702,                 0.1835,                 0.1887,                0.85026,                0.99974,                      1,                  0.995,                0.99492,                0.99974,                      1,                  0.995,                  0.995,                0.15237,                0.15537,                0.12688,                0.76461,              0.0008516,              0.0008516,              0.0008516
                     61,                0.21518,                 0.1821,                  0.189,                0.84841,                0.99978,                      1,                  0.995,                0.99489,                0.99978,                      1,                  0.995,                  0.995,                0.14031,                 0.1423,                0.12324,                0.76125,              0.0008318,              0.0008318,              0.0008318
                     62,                0.21288,                0.18329,                0.18698,                0.84562,                0.99959,                      1,                  0.995,                 0.9949,                0.99959,                      1,                  0.995,                  0.995,                0.14948,                  0.146,                0.12697,                0.76424,               0.000812,               0.000812,               0.000812
                     63,                0.21257,                0.18104,                0.18844,                0.84847,                0.99974,                      1,                  0.995,                0.99492,                0.99974,                      1,                  0.995,                  0.995,                 0.1437,                0.14763,                0.11809,                0.76271,              0.0007922,              0.0007922,              0.0007922
                     64,                0.20649,                0.18213,                0.18615,                0.84603,                0.99975,                      1,                  0.995,                0.99464,                0.99975,                      1,                  0.995,                  0.995,                0.14551,                0.14628,                0.11388,                0.76233,              0.0007724,              0.0007724,              0.0007724
                     65,                 0.2038,                0.17446,                0.18294,                0.84392,                0.99973,                      1,                  0.995,                0.99494,                0.99973,                      1,                  0.995,                  0.995,                0.14797,                0.14382,                0.12411,                0.76166,              0.0007526,              0.0007526,              0.0007526
                     66,                0.20484,                0.17473,                0.18024,                0.84335,                0.99975,                      1,                  0.995,                0.99499,                0.99975,                      1,                  0.995,                  0.995,                0.14606,                0.14492,                 0.1155,                0.76006,              0.0007328,              0.0007328,              0.0007328
                     67,                0.19653,                0.17702,                0.16808,                0.84393,                0.99975,                      1,                  0.995,                0.99495,                0.99975,                      1,                  0.995,                  0.995,                0.13199,                 0.1514,                0.11324,                0.75784,               0.000713,               0.000713,               0.000713
                     68,                0.19355,                0.17891,                 0.1731,                0.84174,                0.99974,                      1,                  0.995,                0.99488,                0.99974,                      1,                  0.995,                  0.995,                0.13932,                0.14845,                0.11582,                0.75863,              0.0006932,              0.0006932,              0.0006932
                     69,                0.19745,                0.17551,                0.17412,                0.83934,                 0.9997,                      1,                  0.995,                0.99489,                 0.9997,                      1,                  0.995,                  0.995,                0.14557,                0.14996,                0.11586,                0.75886,              0.0006734,              0.0006734,              0.0006734
                     70,                0.19583,                0.17072,                0.17251,                 0.8458,                0.99975,                      1,                  0.995,                0.99476,                0.99975,                      1,                  0.995,                  0.995,                0.13333,                0.13857,                0.11109,                0.75805,              0.0006536,              0.0006536,              0.0006536
                     71,                 0.1953,                0.16994,                0.16717,                 0.8405,                0.99975,                      1,                  0.995,                0.99492,                0.99975,                      1,                  0.995,                  0.995,                0.13485,                0.14728,                0.10733,                0.75983,              0.0006338,              0.0006338,              0.0006338
                     72,                0.19489,                0.18134,                0.17163,                0.84096,                0.99975,                      1,                  0.995,                0.99495,                0.99975,                      1,                  0.995,                  0.995,                0.13703,                0.15008,                0.10855,                0.76191,               0.000614,               0.000614,               0.000614
                     73,                0.20739,                0.19539,                0.17749,                0.84227,                0.99975,                      1,                  0.995,                0.99459,                0.99975,                      1,                  0.995,                  0.995,                0.13607,                0.14149,                0.11059,                0.75889,              0.0005942,              0.0005942,              0.0005942
                     74,                0.19121,                0.17306,                 0.1633,                0.83631,                0.99975,                      1,                  0.995,                0.99497,                0.99975,                      1,                  0.995,                  0.995,                0.12924,                0.14178,                0.10469,                0.75695,              0.0005744,              0.0005744,              0.0005744
                     75,                0.19578,                0.16449,                0.16444,                0.85038,                0.99975,                      1,                  0.995,                0.99492,                0.99975,                      1,                  0.995,                  0.995,                0.13383,                0.15341,                 0.1026,                0.76037,              0.0005546,              0.0005546,              0.0005546
                     76,                 0.1995,                0.18342,                0.23298,                0.83943,                0.99973,                      1,                  0.995,                0.99444,                0.99973,                      1,                  0.995,                  0.995,                0.13127,                0.14513,                0.10364,                0.75966,              0.0005348,              0.0005348,              0.0005348
                     77,                0.20073,                0.17927,                0.16862,                0.84239,                0.99974,                      1,                  0.995,                0.99496,                0.99974,                      1,                  0.995,                  0.995,                0.12519,                 0.1411,                0.10735,                 0.7573,               0.000515,               0.000515,               0.000515
                     78,                0.19071,                0.18195,                0.16178,                0.84255,                0.99975,                      1,                  0.995,                0.99495,                0.99975,                      1,                  0.995,                  0.995,                0.14205,                0.13804,                0.10503,                0.76014,              0.0004952,              0.0004952,              0.0004952
                     79,                0.19099,                0.17117,                0.16368,                0.84209,                0.99975,                      1,                  0.995,                0.99496,                0.99975,                      1,                  0.995,                  0.995,                0.13128,                0.14031,                0.10281,                0.76005,              0.0004754,              0.0004754,              0.0004754
                     80,                0.18643,                0.17979,                0.15926,                0.84087,                0.99975,                      1,                  0.995,                0.99497,                0.99975,                      1,                  0.995,                  0.995,                0.12856,                 0.1464,                 0.1001,                0.75712,              0.0004556,              0.0004556,              0.0004556
